acc_cell_type,f1_cell_type,dataset,n_cells,n_cell_types,model
0.5238563418388367,0.4566818475723266,Immune,1,6,scDiff-Embedding
0.6341976523399353,0.595603346824646,Immune,1,6,scDiff-LLM
0.6297749280929565,0.6118730306625366,Immune,1,6,scDiff-LLM
0.4792406857013702,0.4402955174446106,Immune,1,6,scDiff-Embedding
0.8359934091567993,0.5946046113967896,Liver,1,6,scDiff-Embedding
0.8314726948738098,0.4824311435222626,Liver,1,6,scDiff-Embedding
0.8597796559333801,0.5983871817588806,Liver,1,6,scDiff-LLM
0.8374544978141785,0.5915576815605164,Liver,1,6,scDiff-LLM
0.7570042610168457,0.6510221362113953,HLCA,1,6,scDiff-LLM
0.7527646422386169,0.6864750981330872,HLCA,1,6,scDiff-LLM
0.7065914869308472,0.5895470976829529,HLCA,1,6,scDiff-Embedding
0.7129276990890503,0.5539228916168213,HLCA,1,6,scDiff-Embedding
0.7429012656211853,0.5467984676361084,HLCA,1,6,scDiff-Embedding
0.7646719813346863,0.6839107275009155,HLCA,1,6,scDiff-LLM
0.4794387817382813,0.4478128850460053,Brain,1,6,scDiff-LLM
0.5164965391159058,0.4643399715423584,Brain,1,6,scDiff-LLM
0.4903991222381592,0.4348839223384857,Brain,1,6,scDiff-Embedding
0.4862775802612304,0.4005082547664642,Brain,1,6,scDiff-Embedding
0.4500859081745148,0.3760669827461242,Brain,1,6,scDiff-Embedding
0.4974434375762939,0.4703471958637237,Brain,1,6,scDiff-LLM
0.5183125734329224,0.419267326593399,Immune,1,6,scDiff-Embedding
0.5093031525611877,0.3241939842700958,Immune,1,6,scDiff-Embedding
0.6369724869728088,0.5921671986579895,Immune,1,6,scDiff-LLM
0.5972133278846741,0.5853445529937744,Immune,1,6,scDiff-LLM
0.6148808598518372,0.5477806925773621,Immune,1,6,scDiff-LLM
0.8309630155563354,0.6314307451248169,Liver,1,6,scDiff-Embedding
0.8468669056892395,0.6471576690673828,Liver,1,6,scDiff-Embedding
0.8444873094558716,0.6439647674560547,Liver,1,6,scDiff-Embedding
0.854271650314331,0.5933922529220581,Liver,1,6,scDiff-LLM
0.7946750521659851,0.542254626750946,Liver,1,6,scDiff-LLM
0.5081291794776917,0.406965434551239,Immune,1,6,scDiff-Embedding
0.7885667085647583,0.5240001678466797,Liver,1,6,scDiff-LLM
0.6754263639450073,0.6155482530593872,HLCA,1,5,scDiff-Embedding
0.7717558145523071,0.727946400642395,HLCA,1,5,scDiff-LLM
0.5058662295341492,0.4688032865524292,Brain,1,5,scDiff-Embedding
0.5552642941474915,0.5295458436012268,Brain,1,5,scDiff-LLM
0.6312185525894165,0.4872713088989258,Immune,1,5,scDiff-Embedding
0.7933149337768555,0.7800322771072388,Immune,1,5,scDiff-LLM
0.8041496872901917,0.5862102508544922,Liver,1,5,scDiff-Embedding
0.8288981318473816,0.4779990911483764,Liver,1,5,scDiff-LLM
0.821599543094635,0.8079302906990051,HLCA,1,5,scDiff-LLM
0.7160592079162598,0.608940064907074,HLCA,1,5,scDiff-Embedding
0.5422951579093933,0.466228574514389,Brain,1,5,scDiff-Embedding
0.5278065800666809,0.5152068734169006,Brain,1,5,scDiff-LLM
0.6592997908592224,0.5364179611206055,Immune,1,5,scDiff-Embedding
0.7426880598068237,0.7151982188224792,Immune,1,5,scDiff-LLM
0.8324976563453674,0.5886521339416504,Liver,1,5,scDiff-Embedding
0.8327974677085876,0.5466549396514893,Liver,1,5,scDiff-LLM
0.8078853487968445,0.8104165196418762,HLCA,1,5,scDiff-LLM
0.8046244382858276,0.7395898103713989,HLCA,1,5,scDiff-Embedding
0.6502535343170166,0.6337453126907349,Brain,1,5,scDiff-LLM
0.4974336922168732,0.4563983678817749,Brain,1,5,scDiff-Embedding
0.6790627241134644,0.5118588805198669,HLCA,1,5,scDiff-Embedding
0.778339684009552,0.7712881565093994,HLCA,1,5,scDiff-LLM
0.5525469779968262,0.5282044410705566,Brain,1,5,scDiff-LLM
0.6475486159324646,0.5837863683700562,Immune,1,5,scDiff-Embedding
0.5878814458847046,0.5128726959228516,Brain,1,5,scDiff-Embedding
0.7421851754188538,0.7105611562728882,Immune,1,5,scDiff-LLM
0.7843134999275208,0.7412318587303162,HLCA,1,5,scDiff-Embedding
0.7839227914810181,0.7620242238044739,HLCA,1,5,scDiff-LLM
0.8198182582855225,0.4097389280796051,Liver,1,5,scDiff-Embedding
0.8322858214378357,0.5451627969741821,Liver,1,5,scDiff-LLM
0.7210479974746704,0.6743431687355042,Immune,1,5,scDiff-LLM
0.5633549690246582,0.5051952600479126,Brain,1,5,scDiff-LLM
0.5953003764152527,0.4298371374607086,Immune,1,5,scDiff-Embedding
0.5380419492721558,0.4752492308616638,Brain,1,5,scDiff-Embedding
0.8308889269828796,0.5082537531852722,Liver,1,5,scDiff-LLM
0.8213522434234619,0.495229423046112,Liver,1,5,scDiff-Embedding
0.8119289875030518,0.5025573968887329,Liver,1,5,scDiff-Embedding
0.6121761202812195,0.4606392383575439,Immune,1,5,scDiff-Embedding
0.8296375274658203,0.4845686554908752,Liver,1,5,scDiff-LLM
0.7518833875656128,0.7252814769744873,Immune,1,5,scDiff-LLM
0.7574790716171265,0.7129900455474854,HLCA,1,4,scDiff-LLM
0.7413590550422668,0.6012038588523865,HLCA,1,4,scDiff-Embedding
0.653092086315155,0.6141726970672607,Brain,1,4,scDiff-LLM
0.6434286832809448,0.6034891605377197,Brain,1,4,scDiff-Embedding
0.8097190260887146,0.804841160774231,HLCA,1,4,scDiff-LLM
0.7746288180351257,0.7456663250923157,HLCA,1,4,scDiff-LLM
0.7464388012886047,0.7388337850570679,Immune,1,4,scDiff-LLM
0.7641580104827881,0.6810654401779175,HLCA,1,4,scDiff-Embedding
0.6477030515670776,0.5468589067459106,HLCA,1,4,scDiff-Embedding
0.6361388564109802,0.6252102851867676,Immune,1,4,scDiff-Embedding
0.7500163912773132,0.6883952617645264,HLCA,1,4,scDiff-Embedding
0.7874428629875183,0.7665067911148071,HLCA,1,4,scDiff-LLM
0.6582570672035217,0.6535788178443909,Brain,1,4,scDiff-LLM
0.7192705273628235,0.679959774017334,Brain,1,4,scDiff-LLM
0.6328050494194031,0.5941339731216431,Brain,1,4,scDiff-Embedding
0.9542215466499328,0.9170264005661012,Liver,1,4,scDiff-LLM
0.7316544055938721,0.7217682600021362,Immune,1,4,scDiff-LLM
0.9045860171318054,0.7648564577102661,Liver,1,4,scDiff-Embedding
0.5942724943161011,0.5540626645088196,Brain,1,4,scDiff-Embedding
0.616649866104126,0.5953747034072876,Immune,1,4,scDiff-Embedding
0.6481751203536987,0.6310775876045227,Immune,1,4,scDiff-Embedding
0.597924530506134,0.5106026530265808,Brain,1,4,scDiff-Embedding
0.9487479329109192,0.9041548371315002,Liver,1,4,scDiff-LLM
0.9486517906188964,0.9195168018341064,Liver,1,4,scDiff-LLM
0.8297524452209473,0.8253458142280579,Immune,1,4,scDiff-LLM
0.9340181350708008,0.8880690932273865,Liver,1,4,scDiff-Embedding
0.6878803372383118,0.5542231202125549,HLCA,1,4,scDiff-Embedding
0.7789685726165771,0.7761271595954895,HLCA,1,4,scDiff-LLM
0.5965595245361328,0.561233401298523,Brain,1,4,scDiff-LLM
0.9368463158607484,0.8709169626235962,Liver,1,4,scDiff-Embedding
0.5642620325088501,0.5104057788848877,Brain,1,4,scDiff-Embedding
0.6488122940063477,0.6390578746795654,Brain,1,4,scDiff-LLM
0.7704399228096008,0.7693606019020081,Immune,1,4,scDiff-LLM
0.7202090620994568,0.6855504512786865,Immune,1,4,scDiff-Embedding
0.9525801539421082,0.91344952583313,Liver,1,4,scDiff-LLM
0.906207799911499,0.8425614237785339,Liver,1,4,scDiff-Embedding
0.9179364442825316,0.8653414249420166,Liver,1,4,scDiff-Embedding
0.6473973393440247,0.5990474224090576,Immune,1,4,scDiff-Embedding
0.95465487241745,0.9172120690345764,Liver,1,4,scDiff-LLM
0.7626473903656006,0.7620332837104797,Immune,1,4,scDiff-LLM
0.7346570491790771,0.7182393670082092,HLCA,1,3,scDiff-LLM
0.788762092590332,0.7592041492462158,HLCA,1,3,scDiff-LLM
0.7696414589881897,0.7607988715171814,HLCA,1,3,scDiff-LLM
0.787650465965271,0.7686604857444763,HLCA,1,3,scDiff-LLM
0.7763552665710449,0.7211151123046875,HLCA,1,3,scDiff-Embedding
0.6869581937789917,0.5953918695449829,HLCA,1,3,scDiff-Embedding
0.692585289478302,0.5737106800079346,HLCA,1,3,scDiff-Embedding
0.6857861876487732,0.6281698942184448,Brain,1,3,scDiff-LLM
0.6855853199958801,0.634046196937561,Brain,1,3,scDiff-LLM
0.6876870393753052,0.6293703317642212,Brain,1,3,scDiff-LLM
0.6434306502342224,0.595307469367981,Brain,1,3,scDiff-Embedding
0.7266675233840942,0.6030623912811279,Brain,1,3,scDiff-LLM
0.6221638321876526,0.5581858158111572,Brain,1,3,scDiff-Embedding
0.6362313032150269,0.5782458782196045,Brain,1,3,scDiff-Embedding
0.6288998126983643,0.5614187717437744,Brain,1,3,scDiff-Embedding
0.6286423802375793,0.5603189468383789,Brain,1,3,scDiff-Embedding
0.6765508651733398,0.636519193649292,Brain,1,3,scDiff-LLM
0.7814720869064331,0.7667568922042847,HLCA,1,3,scDiff-LLM
0.6891368627548218,0.5874596238136292,HLCA,1,3,scDiff-Embedding
0.7673141956329346,0.7325718402862549,HLCA,1,3,scDiff-Embedding
0.7796201705932617,0.747488260269165,Immune,1,3,scDiff-Embedding
0.900673508644104,0.8985097408294678,Immune,1,3,scDiff-LLM
0.9114776849746704,0.9116266965866088,Immune,1,3,scDiff-LLM
0.735384464263916,0.70782071352005,Immune,1,3,scDiff-Embedding
0.8056355118751526,0.7689831256866455,Immune,1,3,scDiff-Embedding
0.8654530644416809,0.8548052310943604,Immune,1,3,scDiff-LLM
0.8904201984405518,0.8881193399429321,Immune,1,3,scDiff-LLM
0.8998454809188843,0.8448625206947327,Liver,1,3,scDiff-Embedding
0.9300509095191956,0.901232123374939,Liver,1,3,scDiff-Embedding
0.943528652191162,0.9110045433044434,Liver,1,3,scDiff-Embedding
0.9545183181762696,0.923757553100586,Liver,1,3,scDiff-LLM
0.9465823173522948,0.9061121940612792,Liver,1,3,scDiff-LLM
0.9851073026657104,0.9820569753646852,Liver,1,3,scDiff-Embedding
0.9339425563812256,0.8744288682937622,Liver,1,3,scDiff-LLM
0.9399203658103944,0.8900065422058105,Liver,1,3,scDiff-LLM
0.765467643737793,0.7231127619743347,Immune,1,3,scDiff-Embedding
0.9540114402770996,0.9226768016815186,Liver,1,3,scDiff-Embedding
0.7894953489303589,0.7831302285194397,Immune,1,3,scDiff-Embedding
